,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37631,C&D ZODIAC,3938,Double AFT Exit Seat Assembly,41192046-105,,,
37632,C&D ZODIAC,3939,Double AFT Exit Seat Assembly,41192046-106,,,
37633,C&D ZODIAC,3940,Double Last Row Seat Assembly,41192046-107,,,
37634,C&D ZODIAC,3941,Double Last Row Seat Assembly,41192046-108,,,
37635,C&D ZODIAC,3944,Double Front Row Seat Assembly,41202046-101,,,
37636,C&D ZODIAC,3945,Double Front Row Seat Assembly,41202046-102,,,
37637,C&D ZODIAC,3946,Double Standard Seat Assembly,41192047-101,,,
37638,C&D ZODIAC,3947,Double Standard Seat Assembly,41192047-102,,,
37639,C&D ZODIAC,3948,Double Last Row Seat Assembly,41192047-103,,,
37640,C&D ZODIAC,3949,Double Last Row Seat Assembly,41192047-104,,,
37641,C&D ZODIAC,3950,Double Front Row Seat Assembly,41202047-101,,,
